Entry Date,Exit Date,Entry Price,Exit Price,Position Size,Profit/Loss,Profit/Loss %,Direction
2024-09-25,2024-11-04,225.32,220.98,4.44,-19.26,-1.93,LONG
2024-11-04,2024-11-22,220.98,229.06,4.52,-36.47,-3.65,SHORT
2024-11-22,2025-01-08,229.06,241.84,4.34,55.50,5.58,LONG
2025-01-08,2025-02-06,241.84,232.40,4.13,39.06,3.91,SHORT
2025-02-06,2025-03-10,232.40,226.92,4.32,-23.63,-2.35,LONG
2025-03-10,2025-04-02,226.92,223.34,4.41,15.81,1.58,SHORT
2025-04-02,2025-04-07,223.34,181.02,4.49,-190.10,-18.95,LONG
2025-04-07,2025-04-28,181.02,209.63,5.44,-155.54,-15.81,SHORT
2025-04-28,2025-05-15,209.63,211.21,4.62,7.32,0.76,LONG
2025-05-15,2025-05-21,211.21,201.86,4.59,42.91,4.43,SHORT
2025-05-21,2025-05-29,201.86,199.72,4.82,-10.31,-1.06,LONG
2025-05-29,2025-07-01,199.72,207.58,4.87,-38.28,-3.94,SHORT
2025-07-01,2025-08-04,207.58,203.12,4.67,-20.84,-2.15,LONG
2025-08-04,2025-08-11,203.12,227.18,4.76,-114.50,-11.85,SHORT
2025-08-11,2025-08-25,227.18,228.85,4.20,7.02,0.74,LONG
