Entry Date,Exit Date,Entry Price,Exit Price,Position Size,Profit/Loss,Profit/Loss %,Direction
2023-07-17,2023-08-22,124.06,128.47,8.06,35.54,3.55,LONG
2023-08-22,2023-08-29,128.47,133.93,7.81,-42.68,-4.25,SHORT
2023-08-29,2023-09-25,133.93,130.49,7.46,-25.69,-2.57,LONG
2023-09-25,2023-10-10,130.49,137.40,7.64,-52.83,-5.30,SHORT
2023-10-10,2023-10-26,137.40,121.70,7.22,-113.32,-11.43,LONG
2023-10-26,2023-11-15,121.70,133.98,8.05,-98.91,-10.09,SHORT
2023-11-15,2023-12-06,133.98,129.40,7.24,-33.15,-3.42,LONG
2023-12-06,2023-12-20,129.40,137.68,7.47,-61.87,-6.40,SHORT
2023-12-20,2024-02-09,137.68,148.29,6.98,74.03,7.71,LONG
2024-02-09,2024-03-19,148.29,146.33,6.53,12.80,1.32,SHORT
2024-03-19,2024-06-11,146.33,175.98,6.62,196.43,20.26,LONG
2024-06-11,2024-06-14,175.98,176.15,5.62,-0.95,-0.10,SHORT
2024-06-14,2024-07-22,176.15,181.01,5.61,27.30,2.76,LONG
2024-07-22,2024-08-26,181.01,165.56,5.48,84.66,8.54,SHORT
2024-08-26,2024-09-04,165.56,155.88,6.04,-58.45,-5.84,LONG
2024-09-04,2024-09-24,155.88,161.92,6.38,-38.48,-3.87,SHORT
2024-09-24,2024-10-17,161.92,162.56,6.12,3.91,0.39,LONG
2024-10-17,2024-10-29,162.56,169.29,6.10,-41.05,-4.14,SHORT
2024-10-29,2024-11-25,169.29,167.27,5.83,-11.80,-1.20,LONG
2024-11-25,2024-12-11,167.27,195.18,5.89,-164.45,-16.69,SHORT
2024-12-11,2025-01-13,195.18,190.79,4.97,-21.77,-2.25,LONG
2025-01-13,2025-01-16,190.79,192.69,5.07,-9.62,-0.99,SHORT
2025-01-16,2025-02-11,192.69,185.11,5.01,-38.01,-3.93,LONG
2025-02-11,2025-04-23,185.11,155.35,5.20,154.67,16.08,SHORT
2025-04-23,2025-05-19,155.35,166.54,6.29,70.42,7.20,LONG
